,"Bring the Light",,,"3/4 Measures",,,,,
,,,,,,,,,
"V 1A",,A,,,"Just piano","Bring the",light,,
,A,C,,,,"Bring the ",li-ight,,
,,D,,,,"Oh ","bring the","light and","let it"
,,A,,,,"shine on",me,,
"V 1B",,A,,,,"Bring the","light    (","Bring the",light)
,A,C,,,,"Bring the ","li-ight  (","Bring the",li-ight)
,C,D,,,,"Oh ","bring the","light and","let it"
,,A,,,"Full band on ""me""","shine on",me,,
Chorus,A,D,,,"Tempo gets faster",,"Bring the ","light and","let it"
,,E,,,,shine...,"Bring it ","back just","one more"
,,D,,,,time...,"Bring the ","light and","let it"
,,D,,,,shine............,,,"let it"
,,A,,,,"shine on",me...,,
,,,,,,,,,
"V 2A",D,A,,,,"Drive your chariot (Bring the Light)",,,
,,C,,,,"Pull the flame     (Bring the Li-ight)",,,
,,D,,,,"Oh ","bring the","light and","let it"
,,A,,,,"shine on",me,,
"V 2B",D,A,,,,"Battle the moon     (Bring the light)",,,
,,C,,,,"Darkness looms     (Bring the li-ight)",,,
,,D,,,,"Oh ","bring the","light and","let it"
,,A,,,,"shine on",me,,
"V 2C",D,A,,,,"Speak the word      (Bring the light)",,,
,,C,,,,"Let it be           (Bring the li-ight)",,,
,,D,,,,"Oh ","bring the","light and","let it"
,,A,,,,"shine on",me,,
"V 2D",D,A,,,,"Stardust gather     (Bring the light)",,,
,,C,,,,"Fusing matter       (Bring the li-ight)",,,
,,D,,,,"Oh ","bring the","light and","let it"
,,A,,,,"shine on",me,,
Chorus,A,D,,,,,"Bring the ","light and","let it"
,,E,,,,shine...,"Bring it ","back just","one more"
,,D,,,,time...,"Bring the ","light and","let it"
,,D,,,,shine............,,,"let it"
,,A,A,A,,"shine on  me",,,
,A,,,,,,,,"let it"
,,,,,,"shine on  me",,,
,,,,,,,,,"let it"
,A...,,,,,"shine on  me",,,
