Am,,,,,,"Wide awake,","late at night,","choices to","make in the"
F,,Am,G,,,morrow...,,,
Am,,,,,,"Voices in","side offer",comforting,lies...
F,,Fd5,F5,,,whispering,"reasons to","not even",try...
Am,,,,,The,"stakes are so","high,","don’t got much","time left to"
F,,Am,G,,,borrow...,,,
,,,,,,..oh..,,,
,,,,,,,,,
Am,,,,,Its,"time to just","shut up, and","do the im",possible.
F,,,,,,"Can’t walk a",way...,,
Am,,,,,Gotta,"break off those","shackles, and","shake off those",chains
F,,G,,,,"Gotta make","something im",possible,"happen to"
Am,,,,,,day.....,,,
,,,,,,,,,
Am,,,,,,"Bold attempts","aren't enough,","roads can't be","paved with in"
F,,Am,G,,,tentions...,,,
Am,,,,,You,"probably don’t even","got what it","takes,",
F,,Fd5,F5,,"But you","better try an","yway, for",everyone's,sake
Am,,,,,"And you","won’t find the","answer un","til you es","cape from the"
F,,Am,G,,,Labyrinth,"of your con",ventions.,
,,,,,,,,,
Am,,,,,Its,"time to just","shut up, and","do the im",possible.
F,,,,,,"Can’t walk a",way...,,
Am,,,,,Gotta,"break off those","shackles, and","shake off those",chains
F,,G,,,,"Gotta make","something im",possible,"happen to"
Am,,,,,,day.....,,,
,,,,,,,,,
Am,,,,,,"Morning light","rising, the","sun so sur",prisingly
F,,Am,G,,,"Dire and",cruel,,
Am,,,,,A,"flicker of","hope in your","mind is a’",churning.
F,,Fd5,F5,,You,"don’t got much","time now. Your","whole world is",burning
Am,,,,,Got,"so many","lessons in","need of un",learning
F,,Am,G,,That,"once seemed so",terribly,crucial,
,,,,,,,,,
Am,,,,,Its,"time to just","shut up, and","do the im",possible.
F,,,,,,"Can’t walk a",way...,,
Am,,,,,Gotta,"break off those","shackles, and","shake off those",chains
F,,G,,,,"Gotta make","something im",possible,"happen to"
Am,,,,,,day.....,,,
,,,,,,,,,
Am,,,,,Its,"time to just","shut up, and","do the im",possible.
F,,,,,,"Can’t walk a",way...,,
Am,,,,,Gotta,"break off those","shackles, and","shake off those",chains
F,,G,,,,"Gotta make","something im",possible,"happen to"
Am,,,,,,day.....,,,
,,,,,,,,,
Am,,,,,Its,"time to just","shut up, and","do the im",possible.
F,,,,,,"Can’t walk a",way...,,
Am,,,,,Gotta,"make yourself","stronger, you","don’t got much","longer,"
F,,G,,,,"Gotta make","something im",possible,"happen to"
Am,,,,,,day.....,,,
Am,,,,,,"Gotta make","something im",possible,"happen to"
,,,,,,day.....,,,
,,,,,,,,,
Am,,,,,,"Gotta make","something im",possible,"happen to"
,,,,,,day.....,,,
