,,,,,"[partial measure]",,,,"[partial measure]"
,,,,,,,,,
D,A,D,,,"They may","bury my","body when I","die (when I",die)
D,,A,,,"They may","bury my ","body when I","die (when I",die)
D,D7,G,Em,,"Near some","grave site I'd be","found, simply","rotting in the",ground
D,A,D,,,"If they","bury my","body when I",die,
,,,,,,,,,
D,A,D,,,"They may","burn my","body when I","die (when I",die)
D,,A,,,"They may","burn my","body when I","die (when I",die)
D,D7,G,Em,,"When the","fiery furnace","flashes, I'll be","nothing left but",ashes
D,A,D,,,"If they","burn my","body when I",die,
,,,,,,,,,
D,A,D,,,"They may","use my","body when I","die (when I",die)
D,,A,,,"They may","use my","body when I","die (when I",die)
D,D7,G,Em,,"As the","doctors ply their","arts, I'll be ","in a hundred",parts
D,A,D,,,"If they","use my","body when I",die,
,,,,,,,,,
D,A,D,,,"They may","freeze my","body when I","die (when I",die)
D,,A,,,"They may","freeze my","body when I","die (when I",die)
D,D7,G,Em,,"Though I","may well be mis-","taken I would","hope to re-a",waken
D,A,D,,,"If they","freeze my","body when I",die,
,,,,,,,,,
D,A,D,,,"They may","eat my","body when I","die (when I",die)
D,,A,,,"They may","eat my","body when I","die (when I",die)
D,D7,G,Em,,"If a ","zombie horde re-","mains, they'll be","hankering for",____
D,A,D,,,"If they","eat my","body when I",die,
,,,,,,,,,
D,A,D,,,"There's a","chance: I'll","never die at",all,...
D,,A,,,"There's a","chance: I'll","never die at",all,...
D,D7,G,Em,,Cheating,"death is such a ","rarity, it would","take a singu-",larity
D,A,D,,,"To per-","mit, I","never die at",all,
,,,,,,,,,
D,A,D,,,"They may","bury my","body when I","die (when I",die)
D,,A,,,"They may","bury my ","body when I","die (when I",die)
D,D7,G,Em,,"Near some","grave site I'd be","found, simply","rotting in the",ground
D,A,D,,,"If they","bury my","body when I",die,
