"X Days of X-Risk",,,,,"(to the tune of ""12 days of Christmas"")",
,,,,,,
"2/4 Measures",,,,,,
C,,G,C,,"On the","first day of X-Risk I suddenly could see:"
C,,"G  C",,,The,"end of humanity"
C,,G,C,,"On the","second day of X-Risk I suddenly could see"
G,,,,,,"Nuclear War!"
C,,"G  C",,,"And the","end of humanity"
C,,G,C,,"On the","third day of X-Risk I suddenly could see"
G,,,,,,"Pandemic Plagues"
G,,,,,,"Nuclear War"
C,,"G  C",,,"And the","end of humanity"
C,,G,C,,"On the","fourth day of X-Risk I suddenly could see"
G,,,,,,Bioengineering
G,,,,,,"Pandemic Plagues"
G,,,,,,"Nuclear War"
C,,"G  C",,,"And the","end of humanity"
,,,,,"On the","fifth day of X-Risk I suddenly could see"
C,D,G,,,,"Unfriendly AI..."
C,,,,,,Bioengineering
F,,,,,,"Pandemic Plagues"
G,,,,,,"Nuclear War"
C,,G,C,,"And the","end of humanity"
G,,,,,"On the","sixth day of X-Risk I suddenly could see"
"G (repeated 16 times)",,,,,,"One nanite making two nanites making..."
C,D,G,,,,"Unfriendly AI..."
C,,,,,,Bioengineering
F,,,,,,"Pandemic Plagues"
G,,,,,,"Nuclear War"
C,,G,C,,"And the","end of humanity"
